["教育程度", "type"]	["哪种类型是entity的毕业学校？"]
["artist", "label"]	["发布entity的艺人的标签是什么？"]
["nextAlbum", "label"]	["entityLC之后的一CLPM部专辑的标签是什么？"]
["region", "demonym"]	["我们称之为entity所在的行政区的人是谁？"]
["label", "location"]	["entity的标签在哪里？"]
["city", "subdivisionType"]	["entity的所在城市的行政级别是什么？"]
["programmingLanguage", "influencedBy"]	["谁影响entity的开发语言？"]
["finalteam", "list1."]	["谁是第一个在entity效力的最后一CLPM支球队中添加内容的人？"]
["subdivisionName", "isoCode"]	["什么是entity的ISO代码？"]
["writer", "genre"]	["entity的作者属于哪种类型？"]
["starring", "birthPlace"]	["参演entity的演员出生在哪里？"]
["fromAlbum", "title"]	["什么是entity的一CLPM部专辑的名字？"]
["primeminister", "title"]	["什么是entity的首相的名字？"]
["nextAlbum", "title"]	["什么是entityLC之后的一CLPM部专辑的名字？"]
["lastAlbum", "genre"]	["entity的一CLPM张专辑属于哪种类型？"]
["county", "seatType"]	["entity所属的省份的行政级别是什么？"]
["combatant", "capital"]	["entity的首都在哪里？"]
["predecessor", "issue"]	["谁是entity的前代产品的父母？"]
["predecessor", "lowerHouse"]	["什么是entity的前代产品的下议院？"]
["經紀公司", "genre"]	["entity的经济公司属于哪种类型？"]
["monarch", "spouse"]	["谁是entity的配偶？"]
["出生地點", "callingCode"]	["什么是entity的出生地点中的调用代码？"]
["locationCountry", "ethnicGroups"]	["entity所在的国家属于哪个民族？"]
["lyrics", "notableInstruments"]	["哪种乐器entity的发挥并因此而闻名？"]
["country", "ethnicGroups"]	["entity的属于哪个民族？"]
["channel", "iptvServ"]	["entity的电视台推广什么样的IPTV服务？"]
["manufacturer", "keyPeople"]	["谁是entity的生产商的首席执行官？"]
["birthplace", "timezone"]	["entityO第一CLPM支登场的球队属于哪个时区？"]
["cityofbirth", "postalCodeType"]	["entity的出生地使用什么类型的邮政编码？"]
["所在地區", "southeast"]	["哪个城市位于entity的所属区域的东南部？"]
["birthplace", "religion"]	["entityO第一CLPM支登场的球队的宗教是什么？"]
["country", "upperHouse"]	["什么是entity的的上议院？"]
["developer", "subsid"]	["entity的开发商子公司的名称是什么？"]
["state", "timezone"]	["entity所在的州属于哪个时区？"]
["predecessor", "primeminister"]	["谁是entity的前代产品的首相？"]
["before", "birthPlace"]	["entity的前任出生在哪里？"]
["after", "primeminister"]	["谁是entity的的首相？"]
["country", "caption"]	["entity的的标识是什么？"]
["issue", "successor"]	["谁是entity的后裔的继承人？"]
["parent", "founder"]	["谁是entity的主公司的创始人？","谁创立了entity的主公司？"]
["debutteam", "manager"]	["谁是entity的O第一CLPM支球队的经理？"]
["subdivisionName", "highestpoint"]	["entity的最高点是什么？"]
["district", "leaderName"]	["谁是entity所在的区域的领导者？"]
["製作", "cableServ"]	["哪个公司entity的制作方属于？"]
["city", "mayor"]	["谁是entity的所在城市的市长？"]
["operatingSystem", "logo"]	["entity的操作系统的标识是什么？"]
["父親", "title"]	["什么是entity的父亲的名字？"]
["associatedActs", "label"]	["entity的相关艺人的标签是什么？"]
["演出", "birthPlace"]	["出演entity的演员出生在哪里？"]
["party", "founder"]	["谁是entity所属的党派的创始人？","谁创立了entity所属的党派？"]
["title", "capital"]	["entity的标题的首都在哪里？"]
["operator", "industry"]	["entity的相关运营A方是所属的产业类型是什么？"]
["workInstitution", "subsid"]	["entity的工作机构子公司的名称是什么？"]
["almaMater", "caption"]	["entity的母校的标识是什么？"]
["artist", "influences"]	["谁影响发布entity的艺人？"]
["children", "children"]	["entity的子女孩子的名字是什么？"]
["location", "bird"]	["哪种鸟类生物居住在entity的位置？"]
["areas", "establishedEvent"]	["什么时候entity创建既定事件？"]
["vicepresident", "successor"]	["谁是entity的副总统的继承人？"]
["workInstitution", "affiliations"]	["entity的工作机构隶属于什么机构？"]
["predecessor", "deputy"]	["谁是entity的前代产品的部长？"]
["唱片公司", "founder"]	["谁是entity与entity哪家唱片公司的创始人？","谁创立了entity与entity哪家唱片公司？"]
["state", "leaderParty"]	["什么是entity所在的州的领导方？"]
["lastAlbum", "writer"]	["谁写过entity的一CLPM张专辑？","谁是entity的一CLPM张专辑的作者？"]
["workplaces", "affiliations"]	["entity的工作地点隶属于什么机构？"]
["after", "before"]	["谁是entity的的上一任？"]
["commander", "predecessor"]	["谁是entity的将领的前身？"]
["starring", "spouse"]	["谁是参演entity的演员的配偶？"]
["leader", "alongside"]	["谁像entity的领导人一样出名？","谁与entity的领导人同样出名？"]
["city", "settlementType"]	["entity的所在城市属于哪个地区？"]
["city", "tree"]	["什么树大部分种植在entity的所在城市？"]
["followedBy", "genre"]	["entity的一CLPM部作品属于哪种类型？"]
["place", "label"]	["entity的地址的标签是什么？"]
["distributor", "location"]	["entity的发行商在哪里？"]
["county", "leaderName"]	["谁是entity所属的省份的领导者？"]
["distributor", "industry"]	["entity的发行商所属的产业类型是什么？"]
["commander", "deathPlace"]	["entity的将领死在哪里？","entity的将领的死亡地点是什么？"]
["combatant", "religion"]	["entity的宗教是什么？"]
["subdivisionName", "areaCodeType"]	["entity有哪些类型的区号？"]
["states", "upperHouse"]	["什么是使用entity的地区的上议院？"]
["states", "leaderTitle"]	["使用entity的地区在哪里作为leaderTitle？"]
["country", "currency"]	["entity的的货币是什么？"]
["nationalteam", "topScorer"]	["谁是entity的最佳射手？"]
["stadium", "seat"]	["发现举办entity的体育场的地方是什么？"]
["subdivisionName", "demonym"]	["我们称之为entity的人是谁？"]
["followedBy", "writer"]	["谁写过entity的一CLPM部作品？","谁是entity的一CLPM部作品的作者？"]
["province", "postalCodeType"]	["entity使用什么类型的邮政编码？"]
["publisher", "keyPeople"]	["谁是entity的出版商的首席执行官？"]
["capital", "establishedTitle"]	["哪个法律","行为使entity的首都成立？"]
["頻道", "language"]	["放映entity的频道的语言是什么？"]
["after", "birthPlace"]	["entity的出生在哪里？"]
["artist", "notableInstruments"]	["哪种乐器发布entity的艺人发挥并因此而闻名？"]
["subdivisionName", "soil"]	["entity的州土壤是什么？"]
["subdivisionName", "reptile"]	["什么是entity的官方国家爬行动物？"]
["youthclubs", "gk"]	["谁是entity所属青年俱乐部的守门员？"]
["title", "family"]	["谁是entity的标题的家人？","谁是entity的标题的父亲？"]
["before", "title"]	["什么是entity的前任的名字？"]
["countryofbirth", "upperHouse"]	["什么是entity的祖国的上议院？"]
["subdivisionName", "translitLang1Type"]	["什么是entity的翻译方案？"]
["出生地", "region"]	["entity的出生地属于哪个列表？","哪个列表包含entity的出生地？"]
["subdivisionName", "legislature"]	["什么是entity的立法机关？"]
["popplace", "establishedEvent"]	["什么时候entity的主要分布区域创建既定事件？"]
["popplace", "upperHouse"]	["什么是entity的主要分布区域的上议院？"]
["代表作", "relatives"]	["谁是entity的代表作品的亲戚？"]
["headquarters", "leaderName"]	["谁是entity的总部地址的领导者？"]
["referee", "leaderTitle"]	["entity的裁判员在哪里作为leaderTitle？"]
["种族", "group"]	["entity的种族属于哪个组？"]
["birthplace", "leaderTitle"]	["entityO第一CLPM支登场的球队在哪里作为leaderTitle？"]
["usedBy", "establishedEvent"]	["什么时候entity的使用者创建既定事件？"]
["location", "label"]	["entity的位置的标签是什么？"]
["primeminister", "deputy"]	["谁是entity的首相的部长？"]
["territory", "p"]	["如何用汉语拼音拼写entity覆盖的区域？","entity覆盖的区域的中文拼音是什么？"]
["education", "type"]	["哪种类型是entity？"]
["branch", "deputy"]	["谁是entity的的部长？"]
["location", "regionalLanguages"]	["哪种语言是entity的位置中的区域语言？"]
["countryofbirth", "house"]	["entity的祖国有什么样的立法机构？"]
["predecessor", "almaMater"]	["entity的前代产品从哪里毕业？"]
["appointer", "title"]	["什么是entity的任命者的名字？"]
["appointer", "bishop"]	["谁是entity的任命者的主教？"]
["predecessor", "honorificPrefix"]	["entity的前代产品的荣誉称号是什么？"]
["after", "successor"]	["谁是entity的的继承人？"]
["predecessor", "office"]	["entity的前代产品的职务是什么？"]
["states", "establishedEvent"]	["什么时候使用entity的地区创建既定事件？"]
["place", "languages"]	["谁使用entity的地址的区域语言？"]
["place", "callingCode"]	["什么是entity的地址中的调用代码？"]
["party", "leader"]	["谁是entity所属的党派的领导者？"]
["artist", "before"]	["谁是发布entity的艺人的上一任？"]
["birthPlace", "languages"]	["谁使用entity的出生地的区域语言？"]
["draftTeam", "owner"]	["谁是选秀选中entity的球队的所有者？"]
["territory", "blank1NameSec"]	["entity覆盖的区域属于什么？"]
["label", "successor"]	["谁是entity的标签的继承人？"]
["label", "subsid"]	["entity的标签子公司的名称是什么？"]
["location", "lowerHouse"]	["什么是entity的位置的下议院？"]
["country", "label"]	["entity的的标签是什么？"]
["prevSeason", "directedby"]	["谁导演entity的？","谁是entity的的导演？"]
["artist", "children"]	["发布entity的艺人孩子的名字是什么？"]
["subdivisionName", "establishedEvent"]	["什么时候entity创建既定事件？"]
["artist", "placeOfBirth"]	["发布entity的艺人出生在哪里？"]
["居住地", "settlementType"]	["entity的居住地属于哪个地区？"]
["starring", "education"]	["参演entity的演员毕业的地方？","参演entity的演员从哪个学校毕业？"]
["deathPlace", "establishedEvent"]	["什么时候entity逝世的地方创建既定事件？"]
["location", "governmentType"]	["entity的位置政府类型是什么？"]
["音樂類型", "agency"]	["哪个机构entity的音乐类型属于哪个？"]
["capital", "p"]	["如何用汉语拼音拼写entity的首都？","entity的首都的中文拼音是什么？"]
["現任成員", "birthPlace"]	["entity的现任成员出生在哪里？"]
["subdivisionName", "ethnicGroups"]	["entity属于哪个民族？"]
["territory", "leaderTitle"]	["entity覆盖的区域在哪里作为leaderTitle？"]
["動畫製作", "founder"]	["谁是entity的动画的创始人？","谁创立了entity的动画？"]
["prevSeason", "title"]	["什么是entity的的名字？"]
["publisher", "logo"]	["entity的出版商的标识是什么？"]
["workInstitutions", "affiliations"]	["entity的工作机构隶属于什么机构？"]
["publisher", "industry"]	["entity的出版商所属的产业类型是什么？"]
["college", "president"]	["谁是entity所就读的大学的总裁？"]
["college", "athletics"]	["entity所就读的大学属于哪个协会？"]
["college", "almaMater"]	["entity所就读的大学从哪里毕业？"]
["draftTeam", "manager"]	["谁是选秀选中entity的球队的经理？"]
["birthPlace", "populationBlank1Title"]	["什么是entity的出生地？"]
["place", "settlementType"]	["entity的地址属于哪个地区？"]
["citizenship", "demonym"]	["我们称之为entity的公民身份的人是谁？"]
["place", "type"]	["哪种类型是entity的地址？"]
["state", "largestmetro"]	["entity所在的州最大的地铁在哪里？"]
["state", "bird"]	["哪种鸟类生物居住在entity所在的州？"]
["starring", "predecessor"]	["谁是参演entity的演员的前身？"]
["draftTeam", "president"]	["谁是选秀选中entity的球队的总裁？"]
